"file","swedish","english","chinese" 
"English\Felix_DidYouSteaTheFiles.eng.mtf","Kanske","Maybe","也许"
"English\Felix_DidYouSteaTheFiles.eng.mtf","Får se","We'll see","等着瞧"
"English\Felix_DidYouSteaTheFiles.eng.mtf","Pixie är så konstig","Pixie's so weird","皮克西太奇怪了"
"English\Felix_DidYouSteaTheFiles.eng.mtf","Haha, tycker du?","Hah, you think?","哈哈，你觉得怎么样？"
"English\Felix_DidYouSteaTheFiles.eng.mtf","Du vet tjejer... svåra att fatta","Girls, you know... like, incomprehensible","你知道女孩们...很难弄清楚"
"English\Felix_DidYouSteaTheFiles.eng.mtf","Jag vet inte vad jag ska göra för att hon ska gilla mig mer","I don't know what to do to make her like me more","我不知道该怎么做才能让她更喜欢我"
"English\Felix_DidYouSteaTheFiles.eng.mtf","Tjejer gillar killar som är softa","Girls like guys who aren't too bothered, you know","女生都喜欢温柔的男生"
"English\Felix_DidYouSteaTheFiles.eng.mtf","Med humor","G a sense of humor","带着幽默感"
"English\Felix_DidYouSteaTheFiles.eng.mtf","Du måste försöka vara avslappnad helt enkelt, inga stiffa moves","Just try to be more relaxed, don't be to uptight","你必须尽量放松，不要有僵硬的动作"
"English\Felix_DidYouSteaTheFiles.eng.mtf","Fattar du?","You get me?","你明白吗？"
"English\Felix_DidYouSteaTheFiles.eng.mtf","Mm... typ","Mm... sort of","嗯...有点"
"English\Felix_DidYouSteaTheFiles.eng.mtf","Ja, OK","Yeah, OK","好的"
"English\Felix_DidYouSteaTheFiles.eng.mtf","Jo, så är det väl","Yeah, guess that's it","嗯，没错"
"English\Felix_DidYouSteaTheFiles.eng.mtf","Är inte killar svåra att fatta också?","Aren't guys hard understand too?","男生不是也很难找吗？"
"English\Felix_DidYouSteaTheFiles.eng.mtf","Vettefan","Beats me","该死的"
"English\Felix_DidYouSteaTheFiles.eng.mtf","Jag antar det!","I guess so!","大概吧！"
"English\Felix_DidYouSteaTheFiles.eng.mtf","Vi kanske ses där då","Maybe I'll see you there then","也许到时候我们会在那里见到你"
"English\Felix_DidYouSteaTheFiles.eng.mtf","OK, sweet","OK, sweet","好的亲爱的"
"English\Felix_DidYouSteaTheFiles.eng.mtf","Jaha...","Alright...","是的..."
"English\Felix_DidYouSteaTheFiles.eng.mtf","Peace out dude","Peace out dude","平安归来老兄"
"English\Felix_DiscoBall.eng.mtf","Hej allihopa, jag är tillbaka!","Hey everybody, I'm back!","大家好，我回来了！"
"English\Felix_DiscoBall.eng.mtf","Jag fick med mig Pixie och Ivan också!","I got ahold of Pixie and Ivan too!","我还有小精灵和伊万！"
"English\Felix_DiscoBall.eng.mtf","Yay!","Yay!","耶！"
"English\Felix_DiscoBall.eng.mtf","Hej Felix!","Hello Felix!","嘿菲利克斯！"
"English\Felix_DiscoBall.eng.mtf","Hur går det Sebbe?","How's it hanging, Seb?","塞贝你好吗？"
"English\Felix_DiscoBall.eng.mtf","Vilken häftig fest du har ordnat","This is a cool party you're throwing","你安排的聚会多棒啊"
"English\Felix_DiscoBall.eng.mtf","Fett, fett","Cool, cool","胖子，胖子"
"English\Felix_DiscoBall.eng.mtf","Kul att höra Sebbe, jag gillar dig!","Glad to hear it Seb, I like your style!","很高兴听到塞贝，我喜欢你！"
"English\Felix_DiscoBall.eng.mtf","Det är OK, tänkte gå hem snart","It's OK, I was thinking of leaving soon","没事，想快点回家"
"English\Felix_DiscoBall.eng.mtf","Nej, gör inte det!","No, don't go just yet!","不，不要这样做！"
"English\Felix_DiscoBall.eng.mtf","Vi har ju just börjat festa här","The party's just getting started","我们刚刚开始在这里聚会"
"English\Felix_DiscoBall.eng.mtf","Och Pixie och Ivan kom ju nu också","And Pixie and Ivan just arrived as well","Pixie 和 Ivan 现在也来了"
"English\Felix_DiscoBall.eng.mtf","Dina tjejkompisar är lite jobbiga","Your lady friends are a bit of a chore","你的女朋友有点烦人"
"English\Felix_DiscoBall.eng.mtf","Vadå, var de taskiga?","What, were they being mean?","什么，他们很贱吗？"
"English\Felix_DiscoBall.eng.mtf","Alltså, lite","Well, kinda","所以，一点"
"English\Felix_DiscoBall.eng.mtf","Njae men lite otrevliga typ","Nah, but sorta rude","不错，但是有点不愉快的类型"
"English\Felix_DiscoBall.eng.mtf","Jag ska säga till dem","I'll talk to them","我会吿诉他们的"
"English\Felix_DiscoBall.eng.mtf","De är bara så jävla fräscha!","They're just so frickin' hot!","它们真是太新鲜了！"
"English\Felix_DiscoBall.eng.mtf","Ta mer öl om du vill förresten!","Grab more beer if you want by the way!","顺便说一句，如果你想的话，可以多喝点啤酒！"
"English\Felix_DiscoBall.eng.mtf","Tack!","Thanks!","谢谢！"
"English\Felix_DiscoBall.eng.mtf","Ok, det ska jag","OK, I will","好的，我会"
"English\Felix_DiscoBall.eng.mtf","Jag tror det är bra för mig nu","I think I've hit my limit","我觉得现在对我来说很好"
"English\Felix_DiscoBall.eng.mtf","Äsch, kom igen!","Aw shucks, come on!","哎呀，来吧！"
"English\Felix_DiscoBall.eng.mtf","Men Felix, en sak till bara...","Look Felix, just one more thing...","但是菲利克斯，还有一件事……"
"English\Felix_DiscoBall.eng.mtf","Jag tänkte på den här organisationen ni har där i källaren?","I've been thinking, that organization you got down in the basement there?","我在想你们在地下室的这个组织？"
"English\Felix_DiscoBall.eng.mtf","Mmm?","Mmm?","唔？"
"English\Felix_DiscoBall.eng.mtf","Är det svårt att gå med där?","Is it difficult to join?","那里很难加入吗？"
"English\Felix_DiscoBall.eng.mtf","Om jag skulle vilja hjälpa till där, hur gör jag då?","If I would like to, say, help out a little bit, how would that work?","如果我想在那里提供帮助，我该怎么做？"
"English\Felix_DiscoBall.eng.mtf","Jag har en kompis som alltid sagt att han vill kämpa mot sånt där","I've got this friend who always says he wants to fight that stuff","我有一个朋友总是说他想与这种事情作斗争"
"English\Felix_DiscoBall.eng.mtf","Hur gör han för att söka dit?","How would he apply?","他如何去那里寻找？"
"English\Felix_DiscoBall.eng.mtf","Haha, jaha du","Hah, well, Seb","哈哈，是的你"
"English\Felix_DiscoBall.eng.mtf","Alltså det är olika, jag fick mitt gig där av en slump","Like, it varies, I got in by pure coincidence","所以这是不同的，我在那里偶然得到了我的演出"
"English\Felix_DiscoBall.eng.mtf","De letar egentligen alltid efter pålitligt folk","They're always looking for reliable peeps, I guess","他们实际上一直在寻找可靠的人"
"English\Felix_DiscoBall.eng.mtf","Men det är ett jävligt svårt jobb som de gör där inne","But it's real hard work, what they're doing down there","但他们在那里做的工作实在是太辛苦了"
"English\Felix_DiscoBall.eng.mtf","Jag tror att de har något slags test om man ska bli med","I think there's some kinda test if you wanna join","我认为如果你想加入他们会进行某种测试"
"English\Felix_DiscoBall.eng.mtf","Jag vill göra testet!","I wanna take the test!","我想参加考试！"
"English\Felix_DiscoBall.eng.mtf","OK... men kan du ens använda en dator?","OK but... do you even know how to use a computer?","好吧……但是你会用电脑吗？"
"English\Felix_DiscoBall.eng.mtf","Alltså, hmm","Well, uh","所以，嗯"
"English\Felix_DiscoBall.eng.mtf","Inte direkt, är det bara sånt de håller på med?","Not really, is that all they do?","不完全是，他们就是这么做的吗？"
"English\Felix_DiscoBall.eng.mtf","Jag kan skriva i Word!","I can do word processing!","我可以用Word写！"
"English\Felix_DiscoBall.eng.mtf","Måste man kunna sånt?","Do you have to know those things?","你必须能够做到吗？"
"English\Felix_DiscoBall.eng.mtf","Dator?! Jag är grym, vi hade en programmeringskurs på gymnasiet","Computer?! I'm like the bomb, took a programming class in high school","电脑？！我太棒了，我们高中时有过编程课"
"English\Felix_DiscoBall.eng.mtf","Jag tror inte du riktigt fattat grejen","I'm not sure you're really getting it","我认为你没有真正明白这一点"
"English\Felix_DiscoBall.eng.mtf","Om jag klarade testet, tror du att jag skulle få jobba tillsammans med Pixie då?","If I passed the test, do you think I would be able to work with Pixie?","如果我通过了测试，你认为我会和 Pixie 一起工作吗？"
"English\Felix_DiscoBall.eng.mtf","Jo, antagligen","Yeah, probably","应该是"
"English\Felix_DiscoBall.eng.mtf","Hon är rätt mycket i fält med olika uppdrag typ","She's pretty much out in the field all the time, on missions and stuff","她经常在该领域从事各种任务"
"English\Felix_DiscoBall.eng.mtf","Så beror väl på vad för arbetsuppgifter man har","So it depends on what sorta assignments you get","嗯，这取决于你有什么任务"
"English\Felix_DiscoBall.eng.mtf","Vad måste man kunna för att klara testet?","What do you have to do to pass the test?","您需要了解什么才能通过测试？"
"English\Felix_DiscoBall.eng.mtf","Vet inte riktigt","I'm not sure","真的不知道"
"English\Felix_DiscoBall.eng.mtf","Mycket programmering och sånt","A bunch of programming and shit","很多编程和东西"
"English\Felix_DiscoBall.eng.mtf","...problemlösning","...problem solving","...解决问题"
"English\Felix_DiscoBall.eng.mtf","Och så måste man ha hjärtat på det rätta stället!","And of course you gotta have your heart in the right place!","所以你必须把你的心放在正确的地方！"
"English\Felix_DiscoBall.eng.mtf","Om man vill bli med där så måste man visa sig värdig","If you wanna join you gotta prove your worth","如果你想加入那里，你必须证明自己值得"
"English\Felix_DiscoBall.eng.mtf","Du får typ försöka lära dig datorer och programmering tror jag","I guess you'd have to learn computers and programming and stuff","我认为你应该尝试学习计算机和编程"
"English\Felix_DiscoBall.eng.mtf","Men hur lär man sig sånt?","But how do I do that?","但你如何学习呢？"
"English\Felix_DiscoBall.eng.mtf","Jag vet inte, jag kan inte programmera för fem öre","I don't know, I can't code for shit","我不知道，我无法为五美分编程"
"English\Felix_DiscoBall.eng.mtf","Du får väl fråga dig runt","Ask around or something","你应该问问周围"
"English\Felix_DiscoBall.eng.mtf","Ja... ok","Yes... OK","是的...好吧"
"English\Felix_DiscoBall.eng.mtf","Du får hitta någon som har tid över att lära dig lite","Find someone who's got the time to show you the ropes","您可能会找到有时间的人来教您一些知识"
"English\Felix_DiscoBall.eng.mtf","Pixie kanske kan hjälpa dig när hon lugnat ner sig också","Pixie might be able to help once she's cooled off a bit","一旦 Pixie 平静下来，也许她也能帮助你"
"English\Felix_DiscoBall.eng.mtf","Ja ok, ska försöka...","Yeah OK, I'll give it a shot...","是的，好的，会尝试..."
"English\Felix_DiscoBall.eng.mtf","Ja ok, tack för hjälpen!","Yeah OK, thanks for the help!","是的，好的，谢谢您的帮助！"
"English\Felix_DiscoBall.eng.mtf","Får se om jag orkar lära mig den här skiten, är inte riktigt min grej alltså","We'll see if I can be bothered learning all this shit, it's not really my bag","让我们看看我是否能学会这个狗屎，这不是我的事"
"English\Felix_DiscoBall.eng.mtf","Nä jag vet, det är svårt dude!","Yeah I know, it's frickin' hard dude!","不，我知道，这很难，伙计！"
"English\Felix_DiscoBall.eng.mtf","Ja?","Yes?","是的？"
"English\Felix_DiscoBall.eng.mtf","Du jag tänkte på det där testet du snackade om...","I was just thinking about that test you mentioned...","你我正在考虑你所说的那个测试......"
"English\Felix_DiscoBall.eng.mtf","Tror du Pixie skulle gilla om jag försökte få jobb hos er?","Do you think Pixie would mind if I tried to get a job with you guys?","如果我想和你们一起找份工作，你觉得小精灵会喜欢吗？"
"English\Felix_DiscoBall.eng.mtf","Fan, inte mer Sebbe!","Shit, no more Seb!","该死的，不再是塞贝了！"
"English\Felix_DiscoBall.eng.mtf","Kom förbi där när jag jobbar så dealar vi med det då","Drop by while I'm working and we'll deal with it","我工作的时候过来一下，我们再处理"
"English\Felix_DiscoBall.eng.mtf","Ok, förlåt","OK, sorry","好的，对不起"
"English\Felix_DiscoBall.eng.mtf","Amen va tusan","Aw, come on man","阿门，哇"
"English\Felix_DiscoBall.eng.mtf","Ta det lugnt dude","Relax dude","放轻松吧伙计"
"English\Felix_DiscoBall.eng.mtf","Oj jag tänkte mig inte för","Sorry, wasn't thinking","哦，我没想到"
"English\Felix_DiscoBall.eng.mtf","Känner du Pixies pojkvän?","Do you know Pixie's boyfriend?","你认识Pixie的男朋友吗？"
"English\Felix_DiscoBall.eng.mtf","Ivan?","Ivan?","伊万？"
"English\Felix_DiscoBall.eng.mtf","Jo, en del. Han gick i skolan med min storebror.","Yeah, I know of him. He went to school with my big brother","是的，有一些。他和我哥哥一起上学。"
"English\Felix_DiscoBall.eng.mtf","Han är lite skum","He's a little weird","他有点阴暗"
"English\Felix_DiscoBall.eng.mtf","Han är inte så trevlig","He's not very nice","他没那么好"
"English\Felix_DiscoBall.eng.mtf","Han verkar schysst","He seems cool","他看起来不错"
"English\Felix_DiscoBall.eng.mtf","Tycker du?","You think?","你认为？"
"English\Felix_DiscoBall.eng.mtf","Eller eh, jag vet inte","Or uh, I don't know","或者呃，我不知道"
"English\Felix_DiscoBall.eng.mtf","Ja... vad tycker du?","Yes... what do you think?","是啊……你觉得怎么样？"
"English\Felix_DiscoBall.eng.mtf","Han är bra på att lyfta vikter","He's good at lifting weights","他擅长举重"
"English\Felix_DiscoBall.eng.mtf","Jävligt imponerande på gymmet","Pretty fucking impressive at the gym","健身房里的表现相当令人印象深刻"
"English\Felix_DiscoBall.eng.mtf","OK, coolt","OK, cool","嗯不错"
"English\Felix_DiscoBall.eng.mtf","Går du på gym?","Do you frequent the gym?","你去健身房吗？"
"English\Felix_DiscoBall.eng.mtf","Haha, nä inte direkt","Haha no, not really, no","哈哈，不，不是马上"
"English\Felix_DiscoBall.eng.mtf","Så jävla jobbigt","It's a fucking drag","太他妈难了"
"English\Felix_DiscoBall.eng.mtf","Nej nu tror jag att jag måste gå hem","Well, I think I gotta get home now","不，现在我想我必须回家了"
"English\Felix_DiscoBall.eng.mtf","Nej men sluta, ta en till öl istället!","Lay off man, have another beer instead!","不，但是停下来，再喝一杯啤酒吧！"
"English\Felix_DiscoBall.eng.mtf","OK...","OK...","好的..."
"English\Felix_DiscoBall.eng.mtf","Jag blir så full på öl har jag märkt","I've noticed that beer gets me really drunk","我喝醉了啤酒，我注意到了"
"English\Felix_DiscoBall.eng.mtf","Ja men det spelar väl ingen roll","So what","是的，但这并不重要"
"English\Felix_DiscoBall.eng.mtf","Du måste släppa loss Sebbe","You gotta let loose, Seb","你必须让塞贝走"
"English\Felix_DiscoBall.eng.mtf","Släpp ut vilddjuret inom dig!","Unleash the beast!","释放你内心的野兽！"
"English\Felix_DiscoBall.eng.mtf","Bra musik du spelar","I like the music you're playing","你演奏的音乐很好听"
"English\Felix_DiscoBall.eng.mtf","Ja, visst är den fet!","Yeah, isn't it radical!","是的，当然是胖！"
"English\Felix_DiscoBall.eng.mtf","Har du testat min öl-tapp förresten?","Have you tried my beer tap by the way?","顺便问一下，你试过我的啤酒龙头吗？"
"English\Felix_DiscoBall.eng.mtf","Pixie har mixtrat med den","Pixie has tinkered with it","Pixie 已经对它进行了修改"
"English\Felix_DiscoBall.eng.mtf","Mixtrat?","Tinkered?","混合物？"
"English\Felix_DiscoBall.eng.mtf","Ja, hon använde sin apparat du vet","Yeah, she used her device you know","是的，她使用了她的设备，你知道的"
"English\Felix_DiscoBall.eng.mtf","Och nu får man så jääävla stark öl alltså","The beer is so strong now, dude","现在你会得到非常烈的啤酒"
"English\Felix_DiscoBall.eng.mtf","Det är sjukt","It's sick","那是有病的"
"English\Felix_DiscoBall.eng.mtf","Oj","Oh","哦"
"English\Felix_DiscoBall.eng.mtf","Wow","Wow","哇"
"English\Felix_DiscoBall.eng.mtf","Jaha?","Oh?","是的？"
"English\Felix_DiscoBall.eng.mtf","Ja dude, hon har skillz","Yeah dude, she has got skillz","是的，伙计，她有技巧"
"English\Felix_DiscoBall.eng.mtf","Oj då, gick den sönder?","Did it break?","哎呀，摔坏了吗？"
"English\Felix_DiscoBall.eng.mtf","Nej nej!","No no!","不，不！"
"English\Felix_DiscoBall.eng.mtf","Hon hackade den","She hacked it","她黑了它"
"English\Felix_DiscoBall.eng.mtf","'sup?","Sup?","'喝？"
"English\Felix_DiscoBall.eng.mtf","Huh?","Huh?","啊？"
"English\Felix_DiscoBall.eng.mtf","Läget?","How are you doing?","那个地点？"
"English\Felix_DiscoBall.eng.mtf","Jo det är väl bra","It's all good, I guess","嗯，那很好"
"English\Felix_DiscoBall.eng.mtf","Så förbannat trött","So bloody tired","太累了"
"English\Felix_DiscoBall.eng.mtf","Ryck upp dig, det är ju fest!","Don't be like that, it's a party!","起来吧，这是一个聚会！"
"English\Felix_DiscoBall.eng.mtf","Ja ok, ska försöka!","Yeah OK, I'll try","是的，好的，会尝试！"
"English\Felix_DiscoBall.eng.mtf","Är det ok om jag slaggar här i natt?","Is it cool with you if I crash here tonight?","今晚我在这里撒尿可以吗？"
"English\Felix_DiscoBall.eng.mtf","Visst, inga problem","Sure, no problemo","好没问题"
"English\Felix_DiscoBall.eng.mtf","Nej nu går jag hem","Nah, I'm leaving now","不，我现在要回家了"
"English\Felix_DiscoBall.eng.mtf","Ok dude","OK, dude","好的哥们儿"
"English\Felix_DiscoBall.eng.mtf","Chill, dude","Chill, dude","冷静点，伙计"
"English\Felix_HelmetDay.eng.mtf","Helvete vad trött du ser ut","Damn, you look tired","该死的你看起来很累"
"English\Felix_HelmetDay.eng.mtf","Inte så konstigt i och för sig...","Not so strange though...","本身并不那么奇怪......"
"English\Felix_HelmetDay.eng.mtf","Med all skit som har hänt","With this whole shit storm","发生了所有的废话"
"English\Felix_HelmetDay.eng.mtf","Fan vilken jävla röra allting har blivit","What a fucking mess","一切都变得多么混乱"
"English\Felix_HelmetDay.eng.mtf","Jag måste ta något lugnande, vi får prata sen","I need something to calm me down, talk to you later","我需要吃点东西冷静一下，我们稍后再说"
"English\Felix_OLD_GotHackdev.eng.mtf","Hej Felix!","Hey Felix","嘿菲利克斯！"
"English\Felix_OLD_GotHackdev.eng.mtf","Tja dude","Hey dude","好吧伙计"
"English\Felix_OLD_GotHackdev.eng.mtf","Jag har fått tag på en sån här hacking-makapär nu!","I've gotten a hold of one of those hacking-thingamajigs!","我现在已经掌握了这样一颗黑客制作的珍珠！"
"English\Felix_OLD_GotHackdev.eng.mtf","Ooo, en modifierare?","Whoa, a modifier?","哦哦，修改器？"
"English\Felix_OLD_GotHackdev.eng.mtf","Jag fattar inte hur de funkar","I don't understand how they work","我不明白它们是如何工作的"
"English\Felix_OLD_GotHackdev.eng.mtf","Men du är rätt smart eller?","But you're pretty smart right?","但你很聪明，不是吗？"
"English\Felix_OLD_GotHackdev.eng.mtf","Jag vet inte, jag kan inte använda den heller","I don't know, I can't use it either","我不知道，我也不会用"
"English\Felix_OLD_GotHackdev.eng.mtf","OK","OK","好的"
"English\Felix_OLD_GotHackdev.eng.mtf","Jag har inte så bra betyg","My grades aren't that good","我的成绩不太好"
"English\Felix_OLD_GotHackdev.eng.mtf","Inte?!","No?!","不是？！"
"English\Felix_OLD_GotHackdev.eng.mtf","Fast betyg betyder ju ingenting heller","But I mean, grades don't really mean anything anyways","固定等级也没有任何意义"
"English\Felix_OLD_GotHackdev.eng.mtf","Inte?","They don't?","不是？"
"English\Felix_OLD_GotHackdev.eng.mtf","Nej, inte ett dugg","Nah, zippo","不，一点也不"
"English\Felix_OLD_GotHackdev.eng.mtf","Det är vad jag säger till mig själv i alla fall!","At least that's what I keep telling myself!","无论如何，我就是这么告诉自己的！"
"English\Felix_OLD_GotHackdev.eng.mtf","Nä, antar det","No, I guess","不，猜猜是这样"
"English\Felix_OLD_GotHackdev.eng.mtf","Ja, rätt så","Yeah, pretty much","恩，那就对了"
"English\Felix_OLD_GotHackdev.eng.mtf","Tänkte väl, du känns som en sån där smart person","That's what I thought, you look like one of them brainy types","仔细想想，你看起来是个很聪明的人"
"English\Felix_OLD_GotHackdev.eng.mtf","Du pratade om något slags prov man kunde göra för att få jobba här?","You mentioned some sort of test to get a job here?","你谈到了你在这里工作可以参加的某种测试？"
"English\Felix_OLD_GotHackdev.eng.mtf","Ja, om man ska hänga på The Lodge måste man klara ett test","Yeah, if you wanna hang out at the Lodge you need to pass a test","是的，如果你想在 The Lodge 闲逛，你必须通过测试"
"English\Felix_OLD_GotHackdev.eng.mtf","Så länge man inte ska ha mitt jobb! Då måste man bara vara en hård kille","As long as you're not after my job! Then you need to be a real tough guy","只要他们没有我的工作！那你就要做个硬汉"
"English\Felix_OLD_GotHackdev.eng.mtf","Heh","Heh","呵呵"
"English\Felix_OLD_GotHackdev.eng.mtf","Jag är hårdare än jag ser ut!","I'm more brutal than I look","我比看上去更坚强！"
"English\Felix_OLD_GotHackdev.eng.mtf","Jaha, jag förstår","Alright, I see","是的我明白"
"English\Felix_OLD_GotHackdev.eng.mtf","Ok... jag vill jobba där inne med de andra","OK... I want to work down there with the others","好的...我想和其他人一起在那里工作"
"English\Felix_OLD_GotHackdev.eng.mtf","Hur går det på jobbet?","How's work going?","工作怎么样？"
"English\Felix_OLD_GotHackdev.eng.mtf","Det går väl","It's like, going","进行得顺利"
"English\Felix_OLD_GotHackdev.eng.mtf","Har varit jävligt lugnt här nere sista tiden","It's been pretty damn quiet down here for a while now","最近这里太安静了"
"English\Felix_OLD_GotHackdev.eng.mtf","Vet inte vad som händer där inne","Not sure what's goin' on in there","不知道里面发生了什么"
"English\Felix_OLD_GotHackdev.eng.mtf","Fest ikväll?","Party tonight?","今夜派对？"
"English\Felix_OLD_GotHackdev.eng.mtf","Jag vet inte, kanske!","I don't know, maybe!","我不知道，也许吧！"
"English\Felix_OLD_GotHackdev.eng.mtf","Sugen på att komma förbi?","Feel like stopping by?","有兴趣过来吗？"
"English\Felix_OLD_GotHackdev.eng.mtf","Nä, måste greja med lite annat tror jag","Nah, I need to tend to some other things I think","不，我想必须处理其他事情"
"English\Felix_OLD_GotHackdev.eng.mtf","Ja ok","Well alright then","好的"
"English\Felix_OLD_GotHackdev.eng.mtf","Ja verkligen","Yeah","确实是的"
"English\Felix_OLD_GotHackdev.eng.mtf","Sweet","Sweet","甜的"
"English\Felix_OLD_GotHackdev.eng.mtf","Du får komma förbi och kolla vad som händer","Drop by and see what's up","你可以过来看看发生了什么事"
"English\Felix_OLD_GotHackdev.eng.mtf","Jag har inte någon plan","I don't have any plans","我没有计划"
"English\Felix_OLD_GotHackdev.eng.mtf","Jag hatar planer","I hate plans","我讨厌计划"
"English\Felix_OLD_GotHackdev.eng.mtf","Tar dagen som den kommer vet du, dude","Dude, I'm all about seizing the day you know","好好把握这一天，你知道的，伙计"
"English\Felix_OLD_GotHackdev.eng.mtf","Hallå, what's up Sebbe?!","Hey, what's up Seb?!","你好，塞贝怎么了？！"
"English\Felix_PyjamasParty.eng.mtf","Var var det du bodde sa du?","Where did you say you live?","你说你住在哪里？"
"English\Felix_PyjamasParty.eng.mtf","Bredvid café Ponty, det ligger nere på stan","Downtown, next to café Ponty","位于市中心 Ponty 咖啡馆旁边"
"English\Felix_PyjamasParty.eng.mtf","Du går in på vänster sidan av huset","You enter the building from the left-hand side","你从房子的左边进入"
"English\Felix_PyjamasParty.eng.mtf","Det är en uteplats ovanpå, min lilla festplats som jag ordnat","There's a beer garden up top, my very own little lounge that I've set up","上面有一个露台，是我布置的小聚会场所"
"English\Felix_PyjamasParty.eng.mtf","OK, är det nära parken?","OK, is it by the park-ish?","好的，离公园近吗？"
"English\Felix_PyjamasParty.eng.mtf","Ja, mitt emot ingången där ja","Yeah, right across from the entrance there","是的，入口对面就有 是的"
"English\Felix_PyjamasParty.eng.mtf","Nice, då hittar jag nog","Nice, then I think I'll find my way","很好，那我就找到足够的了"
"English\Felix_PyjamasParty.eng.mtf","Ses vi ikväll då? Kommer bli grym fest som vanligt","So I'll see ya tonight then? It's gonna be a kick ass party, as usual","那今晚见吗？像往常一样这将是一个很棒的聚会"
"English\Felix_PyjamasParty.eng.mtf","Ja gärna","Yes, I'd love to","是的，请"
"English\Felix_PyjamasParty.eng.mtf","Härligt att höra","Glad to hear it","很高兴听到"
"English\Felix_PyjamasParty.eng.mtf","Blir nog kul","I guess it'll be fun","可能会很有趣"
"English\Felix_PyjamasParty.eng.mtf","Mm, ska försöka komma förbi","Mm, I'm going to try to swing by","嗯，会尽力过来"
"English\Felix_PyjamasParty.eng.mtf","Klart du ska!","Of course you are!","你当然会的！"
"English\Felix_PyjamasParty.eng.mtf","Ja, ok","Yes, OK","好的"
"English\Felix_PyjamasParty.eng.mtf","Kanske","Maybe","也许"
"English\Felix_PyjamasParty.eng.mtf","Kom igen, det kommer bli fett","Come on, it's gonna be killer","来吧，会胖的"
"English\Felix_PyjamasParty.eng.mtf","Mm...","Mm...","嗯..."
"English\Felix_PyjamasParty.eng.mtf","Tror du att Pixie är arg på mig?","D'you think Pixie's mad at me?","你认为小精灵生我的气了吗？"
"English\Felix_PyjamasParty.eng.mtf","Äsch, hon brukar inte vara långsint","Nah, she doesn't hold a grudge for long","呃，她平时脾气并不暴躁"
"English\Felix_PyjamasParty.eng.mtf","Det är bara å softa dude","Just chill dude","只是表现得软弱罢了"
"English\Felix_PyjamasParty.eng.mtf","Försök att inte klanta till det mer bara","Try not to screw it up any further","尽量不要再沉迷于它"
"English\Felix_PyjamasParty.eng.mtf","Är det inte tråkigt att jobba här nere?","Isn't it boring to work down here?","在这里工作不无聊吗？"
"English\Felix_PyjamasParty.eng.mtf","Nä då, jag har bra underhållning här på datorn","Nah man, I've got me some good entertainment on the computer here","好吧，我在电脑上有很好的娱乐"
"English\Felix_PyjamasParty.eng.mtf","Och så är det jävligt slappt","And also it's pretty fucking laid back","而且很放松"
"English\Felix_PyjamasParty.eng.mtf","Ska mest hålla koll på om det är några skumma typer som stryker omkring","Basically I'm just checking for any prowling riff raff","主要应该留意周围是否有任何可疑的类型"
"English\Felix_PyjamasParty.eng.mtf","Alltså hmm... finns det en chans för mig att få jobba här hos er?","Like umm... any chance I can land job with you?","那么嗯...我有机会在这里和你一起工作吗？"
"English\Felix_PyjamasParty.eng.mtf","Öh, kan du programmera då?","You know how to program any?","呃，那你会编程吗？"
"English\Felix_PyjamasParty.eng.mtf","Jag har en modifierare!","I have a modifier!","我有修改器！"
"English\Felix_PyjamasParty.eng.mtf","Japp","Yup","是的"
"English\Felix_PyjamasParty.eng.mtf","Typ...","Sort of...","类型..."
"English\Felix_PyjamasParty.eng.mtf","OK, men har du lärt dig att använda den?","OK, but do you know how to use it?","好吧，但是你学会如何使用它了吗？"
"English\Felix_PyjamasParty.eng.mtf","Ja, jag är grym","Yes, I'm a pro","是的，我很残忍"
"English\Felix_PyjamasParty.eng.mtf","OK, OK","OK, OK","好的好的"
"English\Felix_PyjamasParty.eng.mtf","Om du vill jobba här måste du klara något slags test","If you wanna work with us you need to pass a test","如果你想在这里工作，你必须通过某种测试"
"English\Felix_PyjamasParty.eng.mtf","Jag ska se om bossen är inne","Let me see if the boss is in","我看看boss在不在"
"English\Felix_PyjamasParty.eng.mtf","Njae...","Well...","出色地..."
"English\Felix_PyjamasParty.eng.mtf","Gör så här dude","Here's what you should do dude","做这个伙计"
"English\Felix_PyjamasParty.eng.mtf","Leta upp någon som kan lära dig lite grejer","Find someone to teach you the basics","找一个可以教你一些东西的人"
"English\Felix_PyjamasParty.eng.mtf","Fib som sköter om parken är soft, han borde kunna ge dig lite tips","Fib who takes care of the park is a cool fellow, he should be able to help you get started","照顾公园的 Fib 很温柔，他应该能给你一些建议"
"English\Felix_PyjamasParty.eng.mtf","Så kan du komma tillbaka hit igen sen","Then come back here","然后你可以稍后再回到这里"
"English\Felix_PyjamasParty.eng.mtf","Ja, det låter som en bra idé","That sounds like a good idea","是的，这听起来是个好主意"
"English\Felix_PyjamasParty.eng.mtf","Cool","Cool","凉爽的"
"English\Felix_PyjamasParty.eng.mtf","Glöm inte att komma på min fest ikväll bara!","Just don't forget about my party tonight!","只是别忘了今晚来参加我的聚会！"
"English\Felix_PyjamasParty.eng.mtf","Nej jag vill göra arbetsintervjun nu!","No, I wanna do the job interview now!","不，我现在就要去面试！"
"English\Felix_PyjamasParty.eng.mtf","Woah, chilla lite nu","Whoa, easy man","哇，现在冷静一下"
